close,high,low,open,volume,baseVolume,datetime
9201.96,9205.51,9201.0,9204.29,50.37,463543.23,2020-07-02 09:37:00
9202.96,9204.21,9193.75,9201.96,73.85,679327.9,2020-07-02 09:38:00
9204.0,9204.69,9202.96,9202.96,18.29,168294.88,2020-07-02 09:39:00
9204.11,9205.06,9203.68,9204.0,46.83,431040.66,2020-07-02 09:40:00
9203.68,9204.87,9203.0,9204.11,16.81,154715.43,2020-07-02 09:41:00
9206.23,9206.83,9203.03,9203.68,22.17,204119.88,2020-07-02 09:42:00
9209.63,9210.56,9206.23,9206.23,82.02,755308.55,2020-07-02 09:43:00
9209.88,9210.6,9209.01,9209.63,7.583,69834.01,2020-07-02 09:44:00
9211.0,9211.53,9209.88,9209.88,14.71,135515.93,2020-07-02 09:45:00
9212.65,9212.65,9211.0,9211.0,27.01,248806.16,2020-07-02 09:46:00
9212.14,9213.63,9212.14,9212.65,13.89,127935.05,2020-07-02 09:47:00
9212.98,9213.24,9212.14,9212.14,23.08,212673.87,2020-07-02 09:48:00
9206.67,9213.0,9204.98,9212.98,39.21,361111.74,2020-07-02 09:49:00
9206.66,9208.78,9202.88,9206.67,32.46,298840.19,2020-07-02 09:50:00
9207.01,9207.77,9206.14,9206.66,24.13,222183.09,2020-07-02 09:51:00
9208.45,9208.99,9205.24,9207.01,26.37,242827.38,2020-07-02 09:52:00
9208.01,9209.68,9207.87,9208.45,7.553,69554.01,2020-07-02 09:53:00
9206.62,9208.05,9206.62,9208.01,8.249,75952.9,2020-07-02 09:54:00
9205.95,9207.47,9205.95,9206.62,7.68,70707.38,2020-07-02 09:55:00
9210.23,9210.27,9204.87,9205.95,27.65,254605.93,2020-07-02 09:56:00
9213.83,9213.83,9208.68,9210.23,28.3,260696.25,2020-07-02 09:57:00
9212.11,9213.83,9210.98,9213.83,16.52,152229.93,2020-07-02 09:58:00
9210.06,9212.11,9210.05,9212.11,43.25,398323.59,2020-07-02 09:59:00
9210.8,9213.83,9209.3,9210.06,34.63,318997.48,2020-07-02 10:00:00
9210.97,9212.96,9210.31,9210.8,20.82,191792.95,2020-07-02 10:01:00
9209.99,9212.55,9209.98,9210.97,16.44,151437.07,2020-07-02 10:02:00
9210.07,9210.49,9209.12,9209.99,10.02,92302.36,2020-07-02 10:03:00
9206.05,9210.2,9205.03,9210.07,26.43,243323.07,2020-07-02 10:04:00
9201.46,9206.05,9200.81,9206.05,15.84,145785.65,2020-07-02 10:05:00
9196.8,9201.98,9195.59,9201.46,31.65,291132.97,2020-07-02 10:06:00
9195.37,9198.88,9194.47,9196.8,14.08,129444.46,2020-07-02 10:07:00
9194.77,9198.91,9192.71,9195.37,28.02,257640.07,2020-07-02 10:08:00
9194.21,9195.04,9192.71,9194.77,12.2,112161.28,2020-07-02 10:09:00
9193.38,9194.86,9190.42,9194.21,22.54,207177.04,2020-07-02 10:10:00
9196.05,9196.83,9193.08,9193.38,22.24,204537.5,2020-07-02 10:11:00
9201.64,9201.64,9194.03,9196.05,47.85,440073.75,2020-07-02 10:12:00
9197.0,9201.65,9196.0,9201.64,13.05,120040.13,2020-07-02 10:13:00
9197.8,9198.88,9194.65,9197.0,22.76,209267.81,2020-07-02 10:14:00
9199.01,9199.33,9197.01,9197.8,13.96,128370.9,2020-07-02 10:15:00
9199.5,9200.01,9198.87,9199.01,41.73,383917.45,2020-07-02 10:16:00
9201.97,9204.51,9199.16,9199.5,32.81,301928.98,2020-07-02 10:17:00
9202.82,9203.0,9201.4,9201.97,9.64,88708.06,2020-07-02 10:18:00
9203.51,9203.99,9202.28,9202.82,15.08,138810.43,2020-07-02 10:19:00
9203.49,9204.0,9202.53,9203.51,13.28,122183.75,2020-07-02 10:20:00
9199.75,9204.0,9199.75,9203.49,19.12,175964.79,2020-07-02 10:21:00
9201.72,9201.99,9198.28,9199.75,17.52,161207.0,2020-07-02 10:22:00
9202.07,9202.31,9199.63,9201.72,12.56,115543.57,2020-07-02 10:23:00
9202.04,9202.88,9200.02,9202.07,12.43,114411.61,2020-07-02 10:24:00
9200.0,9202.19,9200.0,9202.04,11.69,107609.44,2020-07-02 10:25:00
9195.42,9200.02,9194.54,9200.0,28.23,259648.69,2020-07-02 10:26:00
9194.55,9196.26,9194.54,9195.42,8.351,76791.63,2020-07-02 10:27:00
9193.88,9194.55,9193.23,9194.55,20.47,188185.31,2020-07-02 10:28:00
9193.22,9194.55,9192.36,9193.88,7.736,71118.95,2020-07-02 10:29:00
9196.04,9196.13,9190.3,9193.22,25.11,230846.46,2020-07-02 10:30:00
9197.12,9197.7,9195.37,9196.04,8.764,80599.65,2020-07-02 10:31:00
9199.01,9201.04,9197.12,9197.12,18.79,172871.63,2020-07-02 10:32:00
9201.58,9201.7,9197.87,9199.01,18.82,173151.84,2020-07-02 10:33:00
9202.49,9203.15,9199.84,9201.58,22.66,208475.2,2020-07-02 10:34:00
9200.85,9203.35,9199.14,9202.49,20.0,184005.33,2020-07-02 10:35:00
9198.82,9200.97,9198.25,9200.85,12.5,115035.98,2020-07-02 10:36:00
9196.59,9199.59,9195.92,9198.82,15.67,144140.16,2020-07-02 10:37:00
9195.97,9196.89,9195.95,9196.59,9.946,91467.29,2020-07-02 10:38:00
9194.99,9195.97,9189.54,9195.97,49.63,456215.78,2020-07-02 10:39:00
9188.1,9195.0,9185.12,9194.99,104.96,964665.88,2020-07-02 10:40:00
9190.88,9190.88,9186.09,9188.1,37.22,342020.47,2020-07-02 10:41:00
9188.34,9190.97,9186.09,9190.88,38.89,357378.65,2020-07-02 10:42:00
9192.58,9194.79,9185.74,9188.34,41.14,378054.09,2020-07-02 10:43:00
9191.6,9192.73,9187.91,9192.58,21.39,196590.82,2020-07-02 10:44:00
9192.27,9192.72,9187.6,9191.6,31.99,293926.68,2020-07-02 10:45:00
9194.73,9195.6,9189.45,9192.27,40.68,373941.55,2020-07-02 10:46:00
9195.76,9196.22,9194.51,9194.73,26.64,245002.21,2020-07-02 10:47:00
9199.03,9199.71,9195.26,9195.76,19.08,175441.76,2020-07-02 10:48:00
9199.99,9200.74,9197.0,9199.03,17.72,163049.22,2020-07-02 10:49:00
9196.31,9199.99,9196.13,9199.99,14.18,130445.5,2020-07-02 10:50:00
9199.99,9200.0,9196.3,9196.31,12.26,112726.93,2020-07-02 10:51:00
9204.21,9204.21,9199.99,9199.99,13.28,122214.66,2020-07-02 10:52:00
9200.41,9204.47,9200.39,9204.21,13.34,122758.06,2020-07-02 10:53:00
9203.12,9203.18,9200.4,9200.41,13.7,126114.18,2020-07-02 10:54:00
9204.95,9208.24,9202.19,9203.12,25.65,236086.21,2020-07-02 10:55:00
9205.21,9206.78,9204.23,9204.95,15.03,138362.64,2020-07-02 10:56:00
9204.76,9206.53,9203.36,9205.21,25.49,234645.79,2020-07-02 10:57:00
9206.1,9206.44,9203.7,9204.76,30.68,282442.78,2020-07-02 10:58:00
9206.45,9207.55,9204.29,9206.1,14.87,136879.0,2020-07-02 10:59:00
