,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,winTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
437,SMACross,17,33,-0.1443,33.1931,42,11,30,0.2619,408.0439,-194.2527,2,7,-2.1006,449.0,154.0,502.0,265.0,342.5
438,SMACross,17,34,-0.1232,32.0494,39,10,28,0.2564,482.4137,-213.5146,2,7,-2.2594,426.0,184.0,509.0,342.0,365.25
439,SMACross,17,35,-0.1792,33.8624,39,9,29,0.2308,497.3268,-210.7359,2,9,-2.36,484.0,128.0,527.0,403.0,385.5
440,SMACross,17,36,-0.1442,35.0102,39,11,27,0.2821,415.0346,-218.649,2,9,-1.8982,448.0,94.0,446.5,169.0,289.375
441,SMACross,17,37,-0.1674,37.398,38,10,27,0.2632,436.8609,-217.523,2,6,-2.0083,470.0,39.0,498.5,215.0,305.625
442,SMACross,17,38,-0.1826,38.8903,39,10,28,0.2564,444.9071,-217.2128,2,6,-2.0483,487.0,19.0,509.0,234.0,312.25
443,SMACross,17,39,-0.2173,37.6866,36,10,25,0.2778,420.1644,-244.8042,2,7,-1.7163,505.0,34.0,461.0,102.0,275.5
444,SMACross,17,40,-0.2262,39.5097,37,11,25,0.2973,386.0077,-249.4473,2,8,-1.5475,509.0,12.0,378.5,49.0,237.125
445,SMACross,17,41,-0.1719,37.2715,38,13,24,0.3421,342.593,-249.8571,2,5,-1.3712,476.0,43.0,171.0,22.0,178.0
446,SMACross,17,42,-0.169,37.7902,35,9,25,0.2571,489.9222,-237.1024,2,9,-2.0663,472.0,32.0,505.5,245.0,313.625
447,SMACross,17,43,-0.0639,28.7575,32,10,21,0.3125,433.5435,-234.0148,2,7,-1.8526,373.0,266.0,299.5,153.0,272.875
448,SMACross,17,44,-0.0956,31.799,31,9,21,0.2903,471.2449,-243.5056,2,7,-1.9353,403.0,190.0,416.5,177.0,296.625
449,SMACross,17,45,-0.0385,27.8937,32,10,21,0.3125,450.1432,-230.3822,2,7,-1.9539,342.0,288.0,299.5,188.0,279.375
450,SMACross,17,46,-0.0363,30.008,30,10,19,0.3333,475.7224,-266.9533,2,6,-1.782,338.0,238.0,204.0,119.0,224.75
451,SMACross,17,47,0.0432,25.6523,30,11,18,0.3667,428.8957,-235.0883,2,5,-1.8244,216.0,340.0,99.5,138.0,198.375
452,SMACross,17,48,0.0583,27.0996,28,9,18,0.3214,549.8293,-239.0408,3,6,-2.3001,179.0,309.0,257.0,365.0,277.5
453,SMACross,17,49,0.0681,26.9789,27,10,16,0.3704,469.1447,-246.2924,3,10,-1.9048,160.0,314.0,87.0,171.0,183.0
454,SMACross,17,50,0.1209,23.1295,29,9,19,0.3103,528.7001,-178.635,3,6,-2.9597,76.0,396.0,318.5,522.0,328.125
